Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
2023-01-29,109.48610442558731,1.2516486056252238,0.376,9.977350647729669,10.144162010137737,3.151704811959562,1.3470531131713395,1.2663865763973563,629.2575091348511,6.66956114364322,2936.561324461482,25.438773608856632,6.333709199026481,0.945651171547455,289.0363179679161,103.23361412975565,64.0627420611469,13338.434114342004,12260,3.511703995230101,110.53213497841493,312.93586358485146,1118.2178820673664,0.3015438326522106,1.9324,4.291630964734003,35.64928247500877,19.128247310253723,106.87479252564935,1.3809934559327923,8.468026264101045,0.3845,105.48751483998912,3.2654881970596525,49.70872403321279,3.6426965800666644,3.64,60.11960406615708,3.75,1.3950481291402752,13.452263521232608,152.370407951472,8.418741035099808,0.9656642566042949,33.99551578819104,6.757255907187371,2.388694111449635,3.6725,0.7734679499349462,1,28.66595169042209
2023-01-31,109.6906,1.321527686,0.376,9.975,10.50420168,3.131,1.4196,1.303,648.87,6.794,2936.66,25.12,6.9152,0.929800093,290.44,116.13,67.8125,13343.0,12260,3.769,113.6,324.24,1157.8,0.305,1.9324,4.4295,35.6414,20.7908,108.72,1.373437715,8.2641,0.3845,104.8658,3.282,49.814,4.0446,3.64,60.0851,3.75,1.4196,13.4515,150.2429,8.8149,0.9929,35.193,6.7447,2.31691,3.6725,0.802471613,1,28.185
2023-02-01,109.4372,1.321702353,0.376,9.975,10.50420168,3.1264,1.4136,1.3089,646.19,6.794,2921.9,25.074,6.8925,0.926784059,287.94,115.25,67.6458,13349.0,12260,3.768,113.0,324.36,1165.5,0.3047,1.9324,4.288,34.4212,20.7752,108.51,1.37136588,8.2326,0.3845,104.8536,3.269,49.757,4.0071,3.64,60.3099,3.75,1.4136,13.4515,150.3246,8.7316,0.9895,35.142,6.7483,2.30846,3.6725,0.79057633,1,28.236
2023-02-02,109.136,1.309243257,0.376,9.975,10.48218029,3.1473,1.4111,1.3019,646.97,6.794,2906.78,24.992,6.8818,0.925240563,285.34,112.79,67.448,13374.0,12260,3.762,112.5,325.0,1155.2,0.3047,1.9324,4.438,35.629,20.5757,108.12,1.369863014,8.1953,0.3845,104.8247,3.255,49.783,3.9835,3.64,59.9858,3.75,1.4111,13.40045,150.5,8.7192,0.9879,35.092,6.7417,2.28772,3.6725,0.78939059,1,28.337
2023-02-03,109.528,1.30667712,0.376,9.975,10.50420168,3.119,1.4132,1.3004,643.18,6.8697,2882.2,25.155,6.9245,0.93101201,287.82,113.54,67.3825,13362.0,12260,3.76,113.0,322.92,1149.2,0.3047,1.9324,4.4255,35.6157,20.3439,107.88,1.372495196,8.2458,0.3845,104.8365,3.248,49.783,4.0014,3.64,59.3137,3.75,1.4132,14.499,150.5,8.7607,0.997,35.094,6.7399,2.28099,3.6725,0.800897005,1,28.43
2023-02-05,115.38906557338443,1.3002140663327353,0.376,9.974675710984767,10.334955706701734,3.2754131948086544,1.3461444224674748,1.248630928793494,637.0269983800689,6.5944494229013095,2918.78716183918,23.300854640999496,6.995035334035997,0.9518104685960799,264.5986353819076,105.99709560809447,67.5192778696594,13350.769889518944,12260,3.5950849653515378,112.37308309052676,317.91357855683555,1088.1864794614876,0.30235884698079846,1.9324,4.113450662072977,34.659065545292414,18.852469173233196,108.59369664392621,1.4261730381393938,8.528399964527624,0.3845,105.47594476997924,3.24197107647993,49.815417650569096,4.224213199077147,3.64,58.312417820209504,3.75,1.3671887590251481,13.288824487543055,151.9548244669184,8.47648788159434,0.9936554086921364,33.967917649421786,6.774880877212123,2.464573884974645,3.6725,0.7717308850890073,1,28.37189223571214
2023-02-07,109.8245,1.303611002,0.376,9.975,10.51524711,3.1173,1.4138,1.3167,639.35,6.8765,2853.99,25.306,6.9652,0.93676815,290.56,113.99,67.3692,13322.0,12260,3.753,111.85,323.05,1137.7,0.30485,1.9324,4.436,35.5193,20.637,107.49,1.368550705,8.3221,0.3845,104.8236,3.291,49.729,4.028,3.64,59.1933,3.75,1.4138,13.42385,150.75,8.8757,0.9994,35.03,6.7552,2.28107,3.6725,0.807884957,1,28.439
2023-02-08,109.7289,1.310272537,0.376,9.975,10.50420168,3.1298,1.4169,1.3157,646.06,6.8842,2867.76,25.333,6.9707,0.937646507,290.56,113.34,67.3058,13337.0,12260,3.754,112.4,324.62,1142.1,0.30495,1.9324,4.44,35.4975,20.4994,107.88,1.368738024,8.3296,0.3845,104.8209,3.287,49.671,4.0521,3.64,59.5129,3.75,1.4169,13.4286,150.75,8.8881,0.9993,35.045,6.7591,2.28672,3.6725,0.800640512,1,28.643
2023-02-09,109.7002,1.31147541,0.376,9.975,10.50420168,3.1248,1.4163,1.3141,646.58,6.8635,2879.49,25.268,6.9535,0.935278713,288.49,113.19,67.0123,13308.0,12260,3.749,112.18,323.96,1145.4,0.30495,1.9324,4.288,34.4212,20.4163,107.72,1.381978994,8.3109,0.3845,104.8214,3.272,49.823,4.0332,3.64,59.0235,3.75,1.4163,13.4229,150.75,8.848,0.9989,35.014,6.7606,2.28513,3.6725,0.796431985,1,28.575
2023-02-10,109.9871,1.308044474,0.376,9.975,10.50420168,3.1179,1.4212,1.3074,642.62,6.8799,2862.63,25.422,6.9944,0.940822279,289.8,113.36,66.9367,13318.0,12260,3.747,113.7,323.3,1145.7,0.30495,1.9324,4.4455,35.4813,20.3535,107.19,1.391788448,8.3794,0.3845,104.8179,3.248,49.888,4.0435,3.64,58.8457,3.75,1.4212,13.3343,152.8371,8.9164,1.0024,35.066,6.7753,2.27915,3.6725,0.803148341,1,28.6035
2023-02-11,110.62021874834643,1.325775728303083,0.376,9.981736434056518,10.317229990468736,3.1425293126804283,1.4194961260073724,1.3114015887053634,658.8728992107351,6.886839140807179,2894.124571260335,22.115759591611365,6.9087059326743185,0.8769101167503285,286.0958199262863,107.77764730117522,66.7413834827788,13506.269373441823,12260,3.519343612439964,113.89404148462438,324.38360945546066,1124.6154667415954,0.3055338824652369,1.9324,4.475572320684016,32.989290011128325,20.79638065761132,102.97235689186873,1.3816073072659334,8.463526081156129,0.3845,104.81327261453987,3.2411681946880373,49.788014541498804,4.0817221894308355,3.64,58.289289088859846,3.75,1.3596074740288924,13.024285088047261,152.62705041137642,8.719265086794415,0.9691225114710474,34.12127682428765,6.753745580728921,2.4261948523010917,3.6725,0.7568970792600149,1,28.317157990437586
2023-02-13,110.0238,1.304631442,0.376,9.975,10.50420168,3.1149,1.4241,1.3071,650.0,6.8797,2851.98,25.421,6.9959,0.940822279,289.98,105.94,66.9663,13330.0,12260,3.748,113.9,321.95,1151.4,0.3053,1.9324,4.288,35.4708,20.328,107.01,1.390433815,8.375,0.3845,104.8209,3.262,49.917,4.0496,3.64,58.0619,3.75,1.4241,13.3394,150.7474,8.9021,1.0028,33.9695,6.7269,2.2822,3.6725,0.798212005,1,28.57
